Event,n_Primitive,1dtPrimitive.id_r,2dtPrimitive.id_r,3dtPrimitive.id_r,4dtPrimitive.id_r,1dtPrimitive.id_eta,2dtPrimitive.id_eta,3dtPrimitive.id_eta,4dtPrimitive.id_eta,1dtPrimitive.id_phi,2dtPrimitive.id_phi,3dtPrimitive.id_phi,4dtPrimitive.id_phi,1dtPrimitive.phiGlb,2dtPrimitive.phiGlb,3dtPrimitive.phiGlb,4dtPrimitive.phiGlb,1dtPrimitive.phiB,2dtPrimitive.phiB,3dtPrimitive.phiB,4dtPrimitive.phiB,delta_phi12,delta_phi13,delta_phi14,delta_phi23,delta_phi24,delta_phi34,genParticle.pt
1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5475245714187622,0.5196925401687622,0.4994288682937622,0.4896632432937622,-91.0,-71.0,-25.0,-22.0,0.02783203125,0.048095703125,0.057861328125,0.020263671875,0.030029296875,0.009765625,9.452828407287598
2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,5.9612464904785165,-0.322265625,0.0,0.0,-2.0,-3.0,0.0,0.0,6.2835121154785165,5.9612464904785165,5.9612464904785165,0.322265625,0.322265625,0.0,164.4789276123047
3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.8161576986312864,1.8120073080062864,1.8115190267562864,0.0,-10.0,-6.0,13.0,0.0,0.004150390625,0.004638671875,1.8161576986312864,0.00048828125,1.8120073080062864,1.8115190267562864,91.71385955810548
4.0,4.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,-2.0,10.0,10.0,10.0,10.0,4.60740852355957,4.60569953918457,4.60496711730957,4.60472297668457,2.0,-2.0,1.0,30.0,0.001708984375,0.00244140625,0.002685546875,0.000732421875,0.0009765625,0.000244140625,139.44235229492188
5.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,11.0,11.0,11.0,0.0,5.301661491394043,5.292384147644043,5.318995475769043,0.0,-2.0,-129.0,107.0,0.0,0.00927734375,0.017333984375,5.301661491394043,0.026611328125,5.292384147644043,5.318995475769043,198.22348022460938
6.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.432198524475098,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,4.432198524475098,4.432198524475098,4.432198524475098,0.0,0.0,0.0,47.72668838500977
7.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,9.0,8.0,0.0,4.0044641494750985,4.0032434463500985,4.002349853515625,0.0,-4.0,-3.0,-23.0,0.0,0.001220703125,0.0021142959594735444,4.0044641494750985,0.0008935928344735444,4.0032434463500985,4.002349853515625,146.89414978027344
8.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.82908821105957,4.82786750793457,4.82689094543457,4.82664680480957,-5.0,-5.0,-2.0,-2.0,0.001220703125,0.002197265625,0.00244140625,0.0009765625,0.001220703125,0.000244140625,149.8844451904297
9.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0420706272125244,1.0398733615875244,0.0,0.0,-6.0,-2.0,0.0,0.0,0.002197265625,1.0420706272125244,1.0420706272125244,1.0398733615875244,1.0398733615875244,0.0,74.8418197631836
10.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,1.9942975044250488,1.9933209419250488,1.9925885200500488,1.9921002388000488,-8.0,0.0,-2.0,-2.0,0.0009765625,0.001708984375,0.002197265625,0.000732421875,0.001220703125,0.00048828125,159.8087158203125
11.0,4.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,0.06884765625,0.06591796875,0.064208984375,0.063232421875,-10.0,-8.0,-4.0,-1.0,0.0029296875,0.004638671875,0.005615234375,0.001708984375,0.002685546875,0.0009765625,64.22989654541016
12.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.6848100423812866,1.6835893392562866,1.6828569173812866,0.0,-4.0,-3.0,-1.0,0.0,0.001220703125,0.001953125,1.6848100423812866,0.000732421875,1.6835893392562866,1.6828569173812866,168.12953186035156
13.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.1572265625,-0.158203125,0.0,0.0,-2.0,-20.0,0.0,0.0,0.0009765625,0.1572265625,0.1572265625,0.158203125,0.158203125,0.0,135.60366821289062
14.0,4.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,3.0,0.6927882432937622,0.6886378526687622,0.6903468370437622,0.6900198459625244,-4.0,-8.0,-3.0,-1.0,0.004150390625,0.00244140625,0.002768397331237793,0.001708984375,0.001381993293762207,0.00032699108123779297,123.95225524902344
15.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,3.282950162887573,3.280508756637573,3.278555631637573,3.278067350387573,-7.0,-6.0,-2.0,2.0,0.00244140625,0.00439453125,0.0048828125,0.001953125,0.00244140625,0.00048828125,81.32422637939453
16.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,3.9056699275970463,3.8998105525970463,0.0,0.0,-11.0,-3.0,0.0,0.0,0.005859375,3.9056699275970463,3.9056699275970463,3.8998105525970463,3.8998105525970463,0.0,69.88074493408203
17.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.2906057834625244,1.2700979709625244,1.2656205892562866,0.0,-37.0,-21.0,-9.0,0.0,0.0205078125,0.024985194206237793,1.2906057834625244,0.004477381706237793,1.2700979709625244,1.2656205892562866,17.979923248291016
18.0,4.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,8.0,8.0,3.5763242244720463,3.5748593807220463,3.5738828182220463,3.5731503963470463,20.0,-2.0,-5.0,-1.0,0.00146484375,0.00244140625,0.003173828125,0.0009765625,0.001708984375,0.000732421875,135.03868103027344
19.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,2.1678814888000493,2.1671490669250493,2.1664166450500493,2.1659283638000493,0.0,-3.0,-2.0,1.0,0.000732421875,0.00146484375,0.001953125,0.000732421875,0.001220703125,0.00048828125,184.2149658203125
20.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,4.90672492980957,4.90501594543457,4.90355110168457,4.90281867980957,-9.0,3.0,-4.0,-1.0,0.001708984375,0.003173828125,0.00390625,0.00146484375,0.002197265625,0.000732421875,120.53327941894531
21.0,4.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,-2.0,3.0,3.0,3.0,3.0,1.1006643772125244,1.0987112522125244,1.0974905490875244,1.0967581272125244,-5.0,-4.0,-3.0,0.0,0.001953125,0.003173828125,0.00390625,0.001220703125,0.001953125,0.000732421875,98.5722885131836
22.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,4.52928352355957,4.53026008605957,4.52952766418457,0.0,-124.0,-3.0,-8.0,0.0,0.0009765625,0.000244140625,4.52928352355957,0.000732421875,4.53026008605957,4.52952766418457,112.98893737792969
23.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,2.859204769134521,2.871573209762573,0.0,0.0,-3.0,62.0,0.0,0.0,0.012368440628051758,2.859204769134521,2.859204769134521,2.871573209762573,2.871573209762573,0.0,199.62469482421875
24.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,10.0,11.0,10.0,0.0,5.01463508605957,5.011134147644043,5.00706672668457,0.0,-18.0,-11.0,-1.0,0.0,0.0035009384155273438,0.007568359375,5.01463508605957,0.004067420959472656,5.011134147644043,5.00706672668457,46.53997802734375
25.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0187115669250493,2.0172467231750493,0.0,0.0,-4.0,-3.0,0.0,0.0,0.00146484375,2.0187115669250493,2.0187115669250493,2.0172467231750493,2.0172467231750493,0.0,130.17669677734378
26.0,4.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,-2.0,6.0,6.0,6.0,6.0,2.502027034759521,2.499829769134521,2.498609066009521,2.497876644134521,-9.0,-16.0,-4.0,-1.0,0.002197265625,0.00341796875,0.004150390625,0.001220703125,0.001953125,0.000732421875,103.3780746459961
