Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.phiGlb(),dtPrimitive.phiB,dtPrimitive.quality,genParticle.pt
1,1,1,2,0.5475245714187622,-91.0,6,9.452828407287598
1,2,1,2,0.5196925401687622,-71.0,6,9.452828407287598
1,3,2,2,0.4994288682937622,-25.0,5,9.452828407287598
1,4,2,2,0.4896632432937622,-22.0,6,9.452828407287598
2,4,1,1,-0.322265625,-3.0,6,164.4789276123047
2,3,1,12,5.961246490478516,-2.0,5,164.4789276123047
3,1,0,4,1.8161576986312866,-10.0,6,91.71385955810547
3,3,0,4,1.8120073080062866,-6.0,6,91.71385955810547
3,4,0,4,1.8115190267562866,13.0,5,91.71385955810547
4,2,-2,10,4.60569953918457,-2.0,6,139.44235229492188
4,3,-2,10,4.60496711730957,1.0,6,139.44235229492188
4,4,-2,10,4.60472297668457,30.0,2,139.44235229492188
4,1,-1,10,4.60740852355957,2.0,2,139.44235229492188
5,1,1,11,5.301661491394043,-2.0,6,198.22348022460938
5,3,2,11,5.292384147644043,-129.0,3,198.22348022460938
5,4,2,11,5.318995475769043,107.0,3,198.22348022460938
6,3,-2,9,4.432198524475098,-4.0,6,47.726688385009766
7,4,1,8,4.002349853515625,-23.0,2,146.89414978027344
7,2,1,9,4.004464149475098,-4.0,6,146.89414978027344
7,3,1,9,4.003243446350098,-3.0,5,146.89414978027344
8,1,1,10,4.82908821105957,-5.0,6,149.8844451904297
8,2,2,10,4.82786750793457,-5.0,6,149.8844451904297
8,3,2,10,4.82689094543457,-2.0,6,149.8844451904297
8,4,2,10,4.82664680480957,-2.0,6,149.8844451904297
9,2,2,3,1.0420706272125244,-6.0,6,74.8418197631836
9,3,2,3,1.0398733615875244,-2.0,5,74.8418197631836
10,1,0,5,1.9942975044250488,-8.0,4,159.8087158203125
10,2,0,5,1.9933209419250488,0.0,5,159.8087158203125
10,3,0,5,1.9925885200500488,-2.0,5,159.8087158203125
10,4,0,5,1.9921002388000488,-2.0,6,159.8087158203125
11,4,-2,1,0.063232421875,-1.0,6,64.22989654541016
11,1,-1,1,0.06884765625,-10.0,6,64.22989654541016
11,2,-1,1,0.06591796875,-8.0,6,64.22989654541016
11,3,-1,1,0.064208984375,-4.0,6,64.22989654541016
12,1,0,4,1.6848100423812866,-4.0,6,168.12953186035156
12,2,0,4,1.6835893392562866,-3.0,6,168.12953186035156
12,3,0,4,1.6828569173812866,-1.0,5,168.12953186035156
13,3,1,1,-0.1572265625,-2.0,6,135.60366821289062
13,4,2,1,-0.158203125,-20.0,3,135.60366821289062
14,1,-1,2,0.6927882432937622,-4.0,6,123.95225524902344
14,2,-1,2,0.6886378526687622,-8.0,3,123.95225524902344
14,3,-1,2,0.6903468370437622,-3.0,6,123.95225524902344
14,4,-1,3,0.6900198459625244,-1.0,5,123.95225524902344
15,1,0,7,3.2829501628875732,-7.0,6,81.32422637939453
15,2,0,7,3.2805087566375732,-6.0,6,81.32422637939453
15,3,0,7,3.2785556316375732,-2.0,6,81.32422637939453
15,4,0,7,3.2780673503875732,2.0,6,81.32422637939453
