Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.bxTrackFinder(),dtPrimitive.phiGlb(),dtPrimitive.bx
1,1,1,2,0,0.5475245714187622,0
1,2,1,2,0,0.5196925401687622,0
1,3,2,2,0,0.4994288682937622,0
1,4,2,2,0,0.4896632432937622,0
2,4,1,1,0,-0.322265625,0
2,3,1,12,0,5.961246490478516,0
3,1,0,4,0,1.8161576986312866,0
3,3,0,4,0,1.8120073080062866,0
3,4,0,4,0,1.8115190267562866,0
4,2,-2,10,0,4.60569953918457,0
4,3,-2,10,0,4.60496711730957,0
4,4,-2,10,0,4.60472297668457,0
4,1,-1,10,0,4.60740852355957,0
5,4,-1,10,1,4.52562141418457,1
5,1,1,11,0,5.301661491394043,0
5,3,2,11,-5,5.302882194519043,-5
5,3,2,11,-2,5.298243522644043,-2
5,3,2,11,-1,5.305811882019043,-1
5,3,2,11,0,5.292384147644043,0
5,4,2,11,-7,5.301417350769043,-7
5,4,2,11,-6,5.304591178894043,-6
5,4,2,11,-5,5.289698600769043,-5
5,4,2,11,-7,5.306544303894043,-6
5,4,2,11,0,5.318995475769043,0
5,4,2,11,1,5.280665397644043,1
6,3,-2,9,0,4.432198524475098,0
7,4,1,8,0,4.002349853515625,0
7,4,1,8,-2,4.002105712890625,-1
7,2,1,9,0,4.004464149475098,0
7,3,1,9,0,4.003243446350098,0
8,1,1,10,0,4.82908821105957,0
8,2,2,10,0,4.82786750793457,0
8,3,2,10,0,4.82689094543457,0
8,4,2,10,0,4.82664680480957,0
9,1,1,3,-1,1.0366995334625244,-1
9,2,2,3,0,1.0420706272125244,0
9,3,2,3,0,1.0398733615875244,0
10,1,0,5,0,1.9942975044250488,0
10,1,0,5,1,1.9945416450500488,1
10,2,0,5,0,1.9933209419250488,0
10,2,0,5,1,1.9933209419250488,1
10,3,0,5,0,1.9925885200500488,0
10,4,0,5,0,1.9921002388000488,0
11,4,-2,1,0,0.063232421875,0
11,1,-1,1,0,0.06884765625,0
11,2,-1,1,0,0.06591796875,0
11,3,-1,1,0,0.064208984375,0
12,1,0,4,0,1.6848100423812866,0
12,2,0,4,0,1.6835893392562866,0
12,3,0,4,0,1.6828569173812866,0
13,2,1,1,-7,-0.152099609375,-7
13,2,1,1,-6,-0.147705078125,-6
13,2,1,1,-5,-0.15234375,-5
13,2,1,1,-4,-0.16162109375,-4
13,2,1,1,-3,-0.161865234375,-3
13,2,1,1,-1,-0.17041015625,-1
13,3,1,1,0,-0.1572265625,0
13,4,2,1,0,-0.158203125,0
14,1,-1,2,-2,0.6901026964187622,-2
14,1,-1,2,0,0.6927882432937622,0
14,2,-1,2,-3,0.6905909776687622,-3
14,2,-1,2,0,0.6886378526687622,0
14,3,-1,2,0,0.6903468370437622,0
14,4,-1,3,0,0.6900198459625244,0
15,1,0,7,0,3.2829501628875732,0
15,2,0,7,0,3.2805087566375732,0
15,3,0,7,0,3.2785556316375732,0
15,4,0,7,0,3.2780673503875732,0
16,1,1,8,0,3.905669927597046,0
16,4,2,8,0,3.899810552597046,0
17,1,0,3,0,1.2906057834625244,0
17,3,0,3,0,1.2700979709625244,0
17,4,0,4,0,1.2656205892562866,0
