Event	id_r	id_phi	id_eta	phi	phiB	quality	bx	pt
0	1	2	1	98	-91	6	0	9.45283
0	2	2	1	-16	-71	6	0	9.45283
0	3	2	2	-99	-25	5	0	9.45283
0	4	2	2	-139	-22	6	0	9.45283
1	4	1	1	-1320	-3	6	0	164.479
1	3	12	1	826	-2	5	0	164.479
2	1	4	0	1005	-10	6	0	91.7139
2	3	4	0	988	-6	6	0	91.7139
2	4	4	0	986	13	5	0	91.7139
3	2	10	-2	-437	-2	6	0	139.442
3	3	10	-2	-440	1	6	0	139.442
3	4	10	-2	-441	30	2	0	139.442
3	1	10	-1	-430	2	2	0	139.442
4	1	11	1	269	-2	6	0	198.223
4	3	11	2	231	-129	3	0	198.223
4	4	11	2	340	107	3	0	198.223
5	3	9	-2	997	-4	6	0	47.7267
6	4	8	1	1381	-23	2	0	146.894
6	2	9	1	-755	-4	6	0	146.894
6	3	9	1	-760	-3	5	0	146.894
7	1	10	1	478	-5	6	0	149.884
7	2	10	2	473	-5	6	0	149.884
7	3	10	2	469	-2	6	0	149.884
7	4	10	2	468	-2	6	0	149.884
8	2	3	2	-21	-6	6	0	74.8418
8	3	3	2	-30	-2	5	0	74.8418
9	1	5	0	-410	-8	4	0	159.809
9	2	5	0	-414	0	5	0	159.809
9	3	5	0	-417	-2	5	0	159.809
9	4	5	0	-419	-2	6	0	159.809
10	4	1	-2	259	-1	6	0	64.2299
10	1	1	-1	282	-10	6	0	64.2299
10	2	1	-1	270	-8	6	0	64.2299
10	3	1	-1	263	-4	6	0	64.2299
11	1	4	0	467	-4	6	0	168.13
11	2	4	0	462	-3	6	0	168.13
11	3	4	0	459	-1	5	0	168.13
12	3	1	1	-644	-2	6	0	135.604
12	4	1	2	-648	-20	3	0	135.604
13	1	2	-1	693	-4	6	0	123.952
13	2	2	-1	676	-8	3	0	123.952
13	3	2	-1	683	-3	6	0	123.952
13	4	3	-1	-1463	-1	5	0	123.952
14	1	7	0	579	-7	6	0	81.3242
14	2	7	0	569	-6	6	0	81.3242
14	3	7	0	561	-2	6	0	81.3242
14	4	7	0	559	2	6	0	81.3242
15	1	8	1	985	-11	6	0	69.8807
15	4	8	2	961	-3	6	0	69.8807
16	1	3	0	997	-37	6	0	17.9799
16	3	3	0	913	-21	5	0	17.9799
16	4	4	0	-1250	-9	6	0	17.9799
17	1	8	-1	-364	20	3	0	135.039
17	2	8	-1	-370	-2	6	0	135.039
